"","ano","djf","jfm","fma","mam","amj","mjj","jja","jas","aso","son","ond","ndj"
"1","1950","-1.5","-1.3","-1.2","-1.2","-1.1","-0.9","-0.5","-0.4","-0.4","-0.4","-0.6","-0.8"
"2","1951","-0.8","-0.5","-0.2","0.2","0.4","0.6","0.7","0.9","1.0","1.2","1.0","0.8"
"3","1952","0.5","0.4","0.3","0.3","0.2","0.0","-0.1","0.0","0.2","0.1","0.0","0.1"
"4","1953","0.4","0.6","0.6","0.7","0.8","0.8","0.7","0.7","0.8","0.8","0.8","0.8"
"5","1954","0.8","0.5","0.0","-0.4","-0.5","-0.5","-0.6","-0.8","-0.9","-0.8","-0.7","-0.7"
"6","1955","-0.7","-0.6","-0.7","-0.8","-0.8","-0.7","-0.7","-0.7","-1.1","-1.4","-1.7","-1.5"
"7","1956","-1.1","-0.8","-0.6","-0.5","-0.5","-0.5","-0.6","-0.6","-0.5","-0.4","-0.4","-0.4"
"8","1957","-0.2","0.1","0.4","0.7","0.9","1.1","1.3","1.3","1.3","1.4","1.5","1.7"
"9","1958","1.8","1.7","1.3","0.9","0.7","0.6","0.6","0.4","0.4","0.4","0.5","0.6"
"10","1959","0.6","0.6","0.5","0.3","0.2","-0.1","-0.2","-0.3","-0.1","0.0","0.0","0.0"
"11","1960","-0.1","-0.1","-0.1","0.0","0.0","0.0","0.1","0.2","0.3","0.2","0.1","0.1"
"12","1961","0.0","0.0","0.0","0.1","0.2","0.3","0.1","-0.1","-0.3","-0.3","-0.2","-0.2"
"13","1962","-0.2","-0.2","-0.2","-0.3","-0.3","-0.2","0.0","-0.1","-0.1","-0.2","-0.3","-0.4"
"14","1963","-0.4","-0.2","0.2","0.3","0.3","0.5","0.9","1.1","1.2","1.3","1.4","1.3"
"15","1964","1.1","0.6","0.1","-0.3","-0.6","-0.6","-0.6","-0.7","-0.8","-0.8","-0.8","-0.8"
"16","1965","-0.6","-0.3","-0.1","0.2","0.5","0.8","1.2","1.5","1.9","2.0","2.0","1.7"
"17","1966","1.4","1.2","1.0","0.7","0.4","0.2","0.2","0.1","-0.1","-0.1","-0.2","-0.3"
"18","1967","-0.4","-0.5","-0.5","-0.4","-0.2","0.0","0.0","-0.2","-0.3","-0.4","-0.3","-0.4"
"19","1968","-0.6","-0.7","-0.6","-0.4","0.0","0.3","0.6","0.5","0.4","0.5","0.7","1.0"
"20","1969","1.1","1.1","0.9","0.8","0.6","0.4","0.4","0.5","0.8","0.9","0.8","0.6"
"21","1970","0.5","0.3","0.3","0.2","0.0","-0.3","-0.6","-0.8","-0.8","-0.7","-0.9","-1.1"
"22","1971","-1.4","-1.4","-1.1","-0.8","-0.7","-0.7","-0.8","-0.8","-0.8","-0.9","-1.0","-0.9"
"23","1972","-0.7","-0.4","0.1","0.4","0.7","0.9","1.1","1.4","1.6","1.8","2.1","2.1"
"24","1973","1.8","1.2","0.5","-0.1","-0.5","-0.9","-1.1","-1.3","-1.5","-1.7","-1.9","-2.0"
"25","1974","-1.8","-1.6","-1.2","-1.0","-0.9","-0.8","-0.5","-0.4","-0.4","-0.6","-0.8","-0.6"
"26","1975","-0.5","-0.6","-0.7","-0.7","-0.8","-1.0","-1.1","-1.2","-1.4","-1.4","-1.6","-1.7"
"27","1976","-1.6","-1.2","-0.7","-0.5","-0.3","0.0","0.2","0.4","0.6","0.8","0.9","0.8"
"28","1977","0.7","0.6","0.3","0.2","0.2","0.3","0.4","0.4","0.6","0.7","0.8","0.8"
"29","1978","0.7","0.4","0.1","-0.2","-0.3","-0.3","-0.4","-0.4","-0.4","-0.3","-0.1","0.0"
"30","1979","0.0","0.1","0.2","0.3","0.2","0.0","0.0","0.2","0.3","0.5","0.5","0.6"
"31","1980","0.6","0.5","0.3","0.4","0.5","0.5","0.3","0.0","-0.1","0.0","0.1","0.0"
"32","1981","-0.3","-0.5","-0.5","-0.4","-0.3","-0.3","-0.3","-0.2","-0.2","-0.1","-0.2","-0.1"
"33","1982","0.0","0.1","0.2","0.5","0.7","0.7","0.8","1.1","1.6","2.0","2.2","2.2"
"34","1983","2.2","1.9","1.5","1.3","1.1","0.7","0.3","-0.1","-0.5","-0.8","-1.0","-0.9"
"35","1984","-0.6","-0.4","-0.3","-0.4","-0.5","-0.4","-0.3","-0.2","-0.2","-0.6","-0.9","-1.1"
"36","1985","-1.0","-0.8","-0.8","-0.8","-0.8","-0.6","-0.5","-0.5","-0.4","-0.3","-0.3","-0.4"
"37","1986","-0.5","-0.5","-0.3","-0.2","-0.1","0.0","0.2","0.4","0.7","0.9","1.1","1.2"
"38","1987","1.2","1.2","1.1","0.9","1.0","1.2","1.5","1.7","1.6","1.5","1.3","1.1"
"39","1988","0.8","0.5","0.1","-0.3","-0.9","-1.3","-1.3","-1.1","-1.2","-1.5","-1.8","-1.8"
"40","1989","-1.7","-1.4","-1.1","-0.8","-0.6","-0.4","-0.3","-0.3","-0.2","-0.2","-0.2","-0.1"
"41","1990","0.1","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0.4"
"42","1991","0.4","0.3","0.2","0.3","0.5","0.6","0.7","0.6","0.6","0.8","1.2","1.5"
"43","1992","1.7","1.6","1.5","1.3","1.1","0.7","0.4","0.1","-0.1","-0.2","-0.3","-0.1"
"44","1993","0.1","0.3","0.5","0.7","0.7","0.6","0.3","0.3","0.2","0.1","0.0","0.1"
"45","1994","0.1","0.1","0.2","0.3","0.4","0.4","0.4","0.4","0.6","0.7","1.0","1.1"
"46","1995","1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"47","1996","-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"48","1997","-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"49","1998","2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"50","1999","-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"51","2000","-1.7","-1.4","-1.1","-0.8","-0.7","-0.6","-0.6","-0.5","-0.5","-0.6","-0.7","-0.7"
"52","2001","-0.7","-0.5","-0.4","-0.3","-0.3","-0.1","-0.1","-0.1","-0.2","-0.3","-0.3","-0.3"
"53","2002","-0.1","0.0","0.1","0.2","0.4","0.7","0.8","0.9","1.0","1.2","1.3","1.1"
"54","2003","0.9","0.6","0.4","0.0","-0.3","-0.2","0.1","0.2","0.3","0.3","0.4","0.4"
"55","2004","0.4","0.3","0.2","0.2","0.2","0.3","0.5","0.6","0.7","0.7","0.7","0.7"
"56","2005","0.6","0.6","0.4","0.4","0.3","0.1","-0.1","-0.1","-0.1","-0.3","-0.6","-0.8"
"57","2006","-0.9","-0.8","-0.6","-0.4","-0.1","0.0","0.1","0.3","0.5","0.8","0.9","0.9"
"58","2007","0.7","0.2","-0.1","-0.3","-0.4","-0.5","-0.6","-0.8","-1.1","-1.3","-1.5","-1.6"
"59","2008","-1.6","-1.5","-1.3","-1.0","-0.8","-0.6","-0.4","-0.2","-0.2","-0.4","-0.6","-0.7"
"60","2009","-0.8","-0.8","-0.6","-0.3","0.0","0.3","0.5","0.6","0.7","1.0","1.4","1.6"
"61","2010","1.5","1.2","0.8","0.4","-0.2","-0.7","-1.0","-1.3","-1.6","-1.6","-1.6","-1.6"
"62","2011","-1.4","-1.2","-0.9","-0.7","-0.6","-0.4","-0.5","-0.6","-0.8","-1.0","-1.1","-1.0"
"63","2012","-0.9","-0.7","-0.6","-0.5","-0.3","0.0","0.2","0.4","0.4","0.3","0.1","-0.2"
"64","2013","-0.4","-0.4","-0.3","-0.3","-0.4","-0.4","-0.4","-0.3","-0.3","-0.2","-0.2","-0.3"
"65","2014","-0.4","-0.5","-0.3","0.0","0.2","0.2","0.0","0.1","0.2","0.5","0.6","0.7"
"66","2015","0.5","0.5","0.5","0.7","0.9","1.2","1.5","1.9","2.2","2.4","2.6","2.6"
"67","2016","2.5","2.1","1.6","0.9","0.4","-0.1","-0.4","-0.5","-0.6","-0.7","-0.7","-0.6"
"68","2017","-0.3","-0.2","0.1","0.2","0.3","0.3","0.1","-0.1","-0.4","-0.7","-0.8","-1.0"
"69","2018","-0.9","-0.9","-0.7","-0.5","-0.2","0.0","0.1","0.2","0.5","0.8","0.9","0.8"
"70","2019","0.7","0.7","0.7","0.7","0.5","0.5","0.3","0.1","0.2","0.3","0.5","0.5"
"71","2020","0.5","0.5","0.4","0.2","-0.1","-0.3","-0.4","-0.6","-0.9","-1.2","-1.3","-1.2"
"72","2021","-1.0","-0.9","-0.8","-0.7","-0.5","-0.4","-0.4","-0.5","-0.7","-0.8","-1.0","-1.0"
"73","2022","-1.0","-0.9","-1.0","-1.1","-1.0","-0.9","-0.8","-0.9","-1.0","-1.0","-0.9","-0.8"
"74","2023","-0.7","-0.4","-0.1","0.2","0.5","0.8","1.1","1.3","1.6","1.8","1.9","2.0"
"75","2024","1.8","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
